"Species","AgeClass","BACI.eff","n.years.b","n.years.a","n.sites.per.year","alpha","scenario","sd.Year","sd.Stream","sd.StreamYear","sd.Resid","sd.WS.BACI","nsw_T","nsw_C","sdSite","sdYear","sdSiteYear","sdResid","sdWS.BACI","n_TA","n_TB","n_CA","n_CB","ns_T","ns_C","ny_B","ny_A","mu_TA","mu_TB","mu_CA","mu_CB","baci","dfdenom","ncp","Fcrit","ts.power","Tcrit","os.power.a","os.power.b"
"BKTR","AllAges",1.09861228866811,5,3,10,0.05,17854,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,0.5,1,2,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,0.5,10,10,10,10,3,7,5,3,1.09861228866811,0,0,0,1.09861228866811,62,3.53247974475281,3.99588712591073,0.456428471371418,1.66980416251201,0.584752941256988,0.000229064708483495
"BLTR","Immature",1.09861228866811,5,3,10,0.05,17857,0.143742733693192,0.743194864601529,0.0696139883923644,1.15087804362036,0.5,1,2,0.743194864601529,0.143742733693192,0.0696139883923644,1.15087804362036,0.5,10,10,10,10,3,7,5,3,1.09861228866811,0,0,0,1.09861228866811,62,3.27469093029391,3.99588712591073,0.429297503200086,1.66980416251201,0.557628826944493,0.000296297248697064
"BLTR","Mature",1.09861228866811,5,3,10,0.05,17860,5.05652647034668e-09,0.143380651120723,0.252491741697289,1.04069369806768,0.5,1,2,0.143380651120723,5.05652647034668e-09,0.252491741697289,1.04069369806768,0.5,10,10,10,10,3,7,5,3,1.09861228866811,0,0,0,1.09861228866811,62,3.19737065653188,3.99588712591073,0.421015274538285,1.66980416251201,0.549225845694772,0.000320412529034808
"BKTR","AllAges",0.693147180559945,2,4,10,0.05,17865,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,0.5,1,2,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,0.5,10,10,10,10,3,7,2,4,0.693147180559945,0,0,0,0.693147180559945,44,1.39238080767328,4.06170646011934,0.211151248626477,1.68022997657212,0.314547779843158,0.00250048397292768
"BLTR","Immature",0.693147180559945,2,4,10,0.05,17868,0.143742733693192,0.743194864601529,0.0696139883923644,1.15087804362036,0.5,1,2,0.743194864601529,0.143742733693192,0.0696139883923644,1.15087804362036,0.5,10,10,10,10,3,7,2,4,0.693147180559945,0,0,0,0.693147180559945,44,1.25486809020192,4.06170646011934,0.194888892527129,1.68022997657212,0.293958220506183,0.0029971985699232
"BLTR","Mature",0.693147180559945,2,4,10,0.05,17871,5.05652647034668e-09,0.143380651120723,0.252491741697289,1.04069369806768,0.5,1,2,0.143380651120723,5.05652647034668e-09,0.252491741697289,1.04069369806768,0.5,10,10,10,10,3,7,2,4,0.693147180559945,0,0,0,0.693147180559945,44,1.21511505943949,4.06170646011934,0.190187636540908,1.68022997657212,0.287921352370162,0.00316219964499742
"BKTR","AllAges",1.09861228866811,2,4,10,0.05,17876,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,0.5,1,2,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,0.5,10,10,10,10,3,7,2,4,1.09861228866811,0,0,0,1.09861228866811,44,3.49780836042952,4.06170646011934,0.448129701607263,1.68022997657212,0.577897559899364,0.000244336856527361
"BLTR","Immature",1.09861228866811,2,4,10,0.05,17879,0.143742733693192,0.743194864601529,0.0696139883923644,1.15087804362036,0.5,1,2,0.743194864601529,0.143742733693192,0.0696139883923644,1.15087804362036,0.5,10,10,10,10,3,7,2,4,1.09861228866811,0,0,0,1.09861228866811,44,3.15236182009661,4.06170646011934,0.411785019953629,1.68022997657212,0.541114885432033,0.000344966480427367
"BLTR","Mature",1.09861228866811,2,4,10,0.05,17882,5.05652647034668e-09,0.143380651120723,0.252491741697289,1.04069369806768,0.5,1,2,0.143380651120723,5.05652647034668e-09,0.252491741697289,1.04069369806768,0.5,10,10,10,10,3,7,2,4,1.09861228866811,0,0,0,1.09861228866811,44,3.0524979878842,4.06170646011934,0.40104472066365,1.68022997657212,0.530026192485335,0.00038185564806148
"BKTR","AllAges",0.693147180559945,3,4,10,0.05,17887,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,0.5,1,2,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,0.5,10,10,10,10,3,7,3,4,0.693147180559945,0,0,0,0.693147180559945,53,1.40297293789014,4.02301699773367,0.213653416300327,1.6741162367031,0.317215809365297,0.00244347562774061
