"Species","AgeClass","BACI.eff","n.years.b","n.years.a","n.sites.per.year","alpha","sd.Year","sd.Stream","sd.StreamYear","sd.Resid","n.streams.t","n.streams.c","sdSite","sdYear","sdSiteYear","sdResid","n_TA","n_TB","n_CA","n_CB","ns_T","ns_C","ny_B","ny_A","mu_TA","mu_TB","mu_CA","mu_CB","baci","dfdenom","ncp","Fcrit","power","Tcrit","os.power1","os.power2"
"BKTR","AllAges",0.693147180559945,2,3,20,0.05,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,3,7,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,20,20,20,20,3,7,2,3,0.693147180559945,0,0,0,0.693147180559945,35,73.7678317384676,4.1213382003449,0.999999999910944,1.68957245778027,0.999999999993495,0
"BKTR","AllAges",0.693147180559945,2,3,20,0.1,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,3,7,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,20,20,20,20,3,7,2,3,0.693147180559945,0,0,0,0.693147180559945,35,73.7678317384676,2.85465509008965,0.99999999999352,1.30621180201603,0.999999999999702,0
"BKTR","AllAges",0.693147180559945,2,3,20,0.15,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,3,7,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,20,20,20,20,3,7,2,3,0.693147180559945,0,0,0,0.693147180559945,35,73.7678317384676,2.16630778445717,0.999999999998856,1.05201942674807,0.999999999999964,0
"BKTR","AllAges",0.693147180559945,2,4,5,0.05,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,3,7,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,5,5,5,5,3,7,2,4,0.693147180559945,0,0,0,0.693147180559945,44,20.8227976948328,4.06170646011934,0.993818392594063,1.68022997657212,0.99779151305278,4.116207374949e-10
"BKTR","AllAges",0.693147180559945,2,4,5,0.1,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,3,7,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,5,5,5,5,3,7,2,4,0.693147180559945,0,0,0,0.693147180559945,44,20.8227976948328,2.82317277417153,0.997791513612573,1.3010900596888,0.999398603363111,3.25289672975515e-09
"BKTR","AllAges",0.693147180559945,2,4,5,0.15,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,3,7,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,5,5,5,5,3,7,2,4,0.693147180559945,0,0,0,0.693147180559945,44,20.8227976948328,2.14655297702596,0.998925538975268,1.04879362148943,0.999765970415993,1.25718797594487e-08
"BKTR","AllAges",0.693147180559945,2,4,10,0.05,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,3,7,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,10,10,10,10,3,7,2,4,0.693147180559945,0,0,0,0.693147180559945,44,41.4220657692204,4.06170646011934,0.999992571207752,1.68022997657212,0.999998627317061,2.1538326677728e-14
"BKTR","AllAges",0.693147180559945,2,4,10,0.1,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,3,7,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,10,10,10,10,3,7,2,4,0.693147180559945,0,0,0,0.693147180559945,44,41.4220657692204,2.82317277417153,0.99999862733316,1.3010900596888,0.999999823446102,1.37667655053519e-14
"BKTR","AllAges",0.693147180559945,2,4,10,0.15,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,3,7,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,10,10,10,10,3,7,2,4,0.693147180559945,0,0,0,0.693147180559945,44,41.4220657692204,2.14655297702596,0.999999563658469,1.04879362148943,0.999999958218965,5.39568389967826e-14
"BKTR","AllAges",0.693147180559945,2,4,15,0.05,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,3,7,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,15,15,15,15,3,7,2,4,0.693147180559945,0,0,0,0.693147180559945,44,61.8013843427279,4.06170646011934,0.999999994745035,1.68022997657212,0.999999999437964,9.99200722162641e-16
"BKTR","AllAges",0.693147180559945,2,4,15,0.1,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,3,7,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,15,15,15,15,3,7,2,4,0.693147180559945,0,0,0,0.693147180559945,44,61.8013843427279,2.82317277417153,0.999999999438234,1.3010900596888,0.999999999960851,0
